#Temp	LTE cooling per molecule	Net cooling per molecule
2.51189e+07	5.37993e-19	2.65037e-11
2.66072e+07	5.37875e-19	2.65091e-11
2.81838e+07	5.37764e-19	2.65141e-11
2.98538e+07	5.37659e-19	2.65188e-11
3.16228e+07	5.37560e-19	2.65232e-11
3.34965e+07	5.37467e-19	2.65271e-11
3.54813e+07	5.37379e-19	2.65307e-11
3.75837e+07	5.37295e-19	2.65340e-11
3.98107e+07	5.37217e-19	2.65369e-11
4.21697e+07	5.37143e-19	2.65395e-11
4.46684e+07	5.37073e-19	2.65417e-11
4.73151e+07	5.37006e-19	2.65438e-11
5.01187e+07	5.36944e-19	2.65455e-11
5.30884e+07	5.36885e-19	2.65471e-11
5.62341e+07	5.36830e-19	2.65485e-11
5.95662e+07	5.36777e-19	2.65497e-11
6.30957e+07	5.36728e-19	2.65507e-11
6.68344e+07	5.36681e-19	2.65516e-11
7.07946e+07	5.36637e-19	2.65525e-11
7.49894e+07	5.36595e-19	2.65532e-11
7.94328e+07	5.36556e-19	2.65538e-11
8.41395e+07	5.36519e-19	2.65544e-11
8.91251e+07	5.36483e-19	2.65548e-11
9.44061e+07	5.36450e-19	2.65553e-11
1.00000e+08	5.36419e-19	2.65557e-11
1.05926e+08	5.36390e-19	2.65560e-11
1.12202e+08	5.36362e-19	2.65563e-11
1.18850e+08	5.36336e-19	2.65566e-11
1.25893e+08	5.36311e-19	2.65568e-11
1.33352e+08	5.36287e-19	2.65571e-11
1.41254e+08	5.36265e-19	2.65573e-11
1.49624e+08	5.36244e-19	2.65574e-11
1.58489e+08	5.36225e-19	2.65576e-11
1.67880e+08	5.36206e-19	2.65578e-11
1.77828e+08	5.36188e-19	2.65579e-11
1.88365e+08	5.36172e-19	2.65580e-11
1.99526e+08	5.36156e-19	2.65581e-11
2.11349e+08	5.36141e-19	2.65583e-11
2.23872e+08	5.36127e-19	2.65584e-11
2.37137e+08	5.36114e-19	2.65584e-11
2.51189e+08	5.36102e-19	2.65585e-11
2.66073e+08	5.36090e-19	2.65586e-11
2.81838e+08	5.36079e-19	2.65587e-11
2.98538e+08	5.36069e-19	2.65587e-11
3.16228e+08	5.36059e-19	2.65588e-11
3.34965e+08	5.36049e-19	2.65589e-11
3.54813e+08	5.36041e-19	2.65589e-11
3.75837e+08	5.36032e-19	2.65590e-11
3.98107e+08	5.36024e-19	2.65590e-11
4.21697e+08	5.36017e-19	2.65591e-11
4.46684e+08	5.36010e-19	2.65591e-11
4.73151e+08	5.36003e-19	2.65591e-11
5.01187e+08	5.35997e-19	2.65592e-11
5.30884e+08	5.35991e-19	2.65592e-11
5.62341e+08	5.35986e-19	2.65593e-11
5.95662e+08	5.35981e-19	2.65593e-11
6.30957e+08	5.35976e-19	2.65593e-11
6.68344e+08	5.35971e-19	2.65593e-11
7.07946e+08	5.35966e-19	2.65594e-11
7.49894e+08	5.35962e-19	2.65594e-11
7.94328e+08	5.35958e-19	2.65594e-11
8.41395e+08	5.35955e-19	2.65594e-11
8.91251e+08	5.35951e-19	2.65595e-11
9.44061e+08	5.35948e-19	2.65595e-11
1.00000e+09	5.35945e-19	2.65595e-11
1.05925e+09	5.35942e-19	2.65595e-11
1.12202e+09	5.35939e-19	2.65595e-11
1.18850e+09	5.35936e-19	2.65595e-11
